127.0.0.1 - - [29/Oct/2021:09:09:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:09:35 +0530] "GET /student_profile/signin HTTP/1.1" 200 8565
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:09:35 +0530] "GET /media/illustrations/login_image.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:10:33 +0530] "GET /student_profile/login?userName=abcd&password=mighil HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:10:33 +0530] "GET /student_profile/signin HTTP/1.1" 200 8565
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:10:33 +0530] "GET /media/illustrations/login_image.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:10:42 +0530] "GET /student_profile/login?userName=mighil&password=mighil HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:10:42 +0530] "GET /student_profile/feed HTTP/1.1" 200 43849
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:10:42 +0530] "GET /media/avatars/zen.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:10:42 +0530] "GET /media/icons/feed.png HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:10:42 +0530] "GET /media/avatars/girl1.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:11:36 +0530] "GET /student_profile/signup HTTP/1.1" 200 7846
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:12:08 +0530] "GET /student_profile/register?userName=abcd&password=asd&cnfpassword=asdasdasdas&email=abcd%40gmail.com&location=india HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:12:08 +0530] "GET /student_profile/signup HTTP/1.1" 200 7846
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:12:24 +0530] "GET /student_profile/register?userName=mighil&password=mighil&cnfpassword=mighil&email=mighildath%40gmail.com&location=Trichy HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:12:24 +0530] "GET /student_profile/signin HTTP/1.1" 200 8565
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:12:24 +0530] "GET /media/illustrations/login_image.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:12:42 +0530] "GET /student_profile/register?userName=abcd&password=abcd&cnfpassword=abcd&email=abcd%40gmail.com&location=India HTTP/1.1" 302 -
